,mess_mess-galav,mess_mess-kumard,mess_mess-ssai,remarks_Add-On,remarks_Basic,remarks_Basic-AddOn,day_of_week,time,count
0,1.0,0.0,0.0,1.0,0.0,0.0,0,480,1
1,1.0,0.0,0.0,1.0,0.0,0.0,0,482,1
2,1.0,0.0,0.0,1.0,0.0,0.0,0,483,1
3,1.0,0.0,0.0,1.0,0.0,0.0,0,485,1
4,1.0,0.0,0.0,1.0,0.0,0.0,0,487,5
5,1.0,0.0,0.0,1.0,0.0,0.0,0,488,6
6,1.0,0.0,0.0,1.0,0.0,0.0,0,489,1
7,1.0,0.0,0.0,1.0,0.0,0.0,0,490,6
8,1.0,0.0,0.0,1.0,0.0,0.0,0,491,5
9,1.0,0.0,0.0,1.0,0.0,0.0,0,492,7
10,1.0,0.0,0.0,1.0,0.0,0.0,0,493,10
11,1.0,0.0,0.0,1.0,0.0,0.0,0,494,8
12,1.0,0.0,0.0,1.0,0.0,0.0,0,495,8
13,1.0,0.0,0.0,1.0,0.0,0.0,0,496,3
14,1.0,0.0,0.0,1.0,0.0,0.0,0,497,9
15,1.0,0.0,0.0,1.0,0.0,0.0,0,498,10
16,1.0,0.0,0.0,1.0,0.0,0.0,0,499,5
17,1.0,0.0,0.0,1.0,0.0,0.0,0,500,2
18,1.0,0.0,0.0,1.0,0.0,0.0,0,501,1
19,1.0,0.0,0.0,1.0,0.0,0.0,0,502,7
20,1.0,0.0,0.0,1.0,0.0,0.0,0,503,7
21,1.0,0.0,0.0,1.0,0.0,0.0,0,504,8
22,1.0,0.0,0.0,1.0,0.0,0.0,0,505,6
23,1.0,0.0,0.0,1.0,0.0,0.0,0,506,4
24,1.0,0.0,0.0,1.0,0.0,0.0,0,507,5
25,1.0,0.0,0.0,1.0,0.0,0.0,0,508,1
26,1.0,0.0,0.0,1.0,0.0,0.0,0,509,8
27,1.0,0.0,0.0,1.0,0.0,0.0,0,510,7
28,1.0,0.0,0.0,1.0,0.0,0.0,0,511,7
29,1.0,0.0,0.0,1.0,0.0,0.0,0,512,1
30,1.0,0.0,0.0,1.0,0.0,0.0,0,513,2
31,1.0,0.0,0.0,1.0,0.0,0.0,0,514,4
32,1.0,0.0,0.0,1.0,0.0,0.0,0,515,1
33,1.0,0.0,0.0,1.0,0.0,0.0,0,516,2
34,1.0,0.0,0.0,1.0,0.0,0.0,0,518,1
35,1.0,0.0,0.0,1.0,0.0,0.0,0,519,4
36,1.0,0.0,0.0,1.0,0.0,0.0,0,520,4
37,1.0,0.0,0.0,1.0,0.0,0.0,0,521,5
38,1.0,0.0,0.0,1.0,0.0,0.0,0,522,2
39,1.0,0.0,0.0,1.0,0.0,0.0,0,523,6
40,1.0,0.0,0.0,1.0,0.0,0.0,0,524,2
41,1.0,0.0,0.0,1.0,0.0,0.0,0,525,8
42,1.0,0.0,0.0,1.0,0.0,0.0,0,526,3
43,1.0,0.0,0.0,1.0,0.0,0.0,0,527,2
44,1.0,0.0,0.0,1.0,0.0,0.0,0,528,4
45,1.0,0.0,0.0,1.0,0.0,0.0,0,529,3
46,1.0,0.0,0.0,1.0,0.0,0.0,0,530,5
47,1.0,0.0,0.0,1.0,0.0,0.0,0,531,2
48,1.0,0.0,0.0,1.0,0.0,0.0,0,532,1
49,1.0,0.0,0.0,1.0,0.0,0.0,0,533,5
50,1.0,0.0,0.0,1.0,0.0,0.0,0,534,3
51,1.0,0.0,0.0,1.0,0.0,0.0,0,535,3
52,1.0,0.0,0.0,1.0,0.0,0.0,0,536,5
53,1.0,0.0,0.0,1.0,0.0,0.0,0,537,2
54,1.0,0.0,0.0,1.0,0.0,0.0,0,538,4
55,1.0,0.0,0.0,1.0,0.0,0.0,0,539,1
56,1.0,0.0,0.0,1.0,0.0,0.0,0,540,4
57,1.0,0.0,0.0,1.0,0.0,0.0,0,541,2
58,1.0,0.0,0.0,1.0,0.0,0.0,0,542,7
59,1.0,0.0,0.0,1.0,0.0,0.0,0,543,2
60,1.0,0.0,0.0,1.0,0.0,0.0,0,544,4
